,Survived,Pclass,Embarked(C),Embarked(S),Sex,Age,SibSp,Parch
269,1,1,0,1,1,35.0,0,0
270,0,1,0,1,0,42.49863285725639,0,0
271,1,3,0,1,0,25.0,0,0
272,1,2,0,1,1,41.0,0,1
273,0,1,1,0,0,37.0,0,1
274,1,3,0,0,1,28.615464952946855,0,0
275,1,1,0,1,1,63.0,1,0
276,0,3,0,1,1,45.0,0,0
277,0,2,0,1,0,35.686094396816046,0,0
278,0,3,0,0,0,7.0,4,1
279,1,3,0,1,1,35.0,1,1
280,0,3,0,0,0,65.0,0,0
281,0,3,0,1,0,28.0,0,0
282,0,3,0,1,0,16.0,0,0
283,1,3,0,1,0,19.0,0,0
284,0,1,0,1,0,42.5699372871219,0,0
285,0,3,1,0,0,33.0,0,0
286,1,3,0,1,0,30.0,0,0
287,0,3,0,1,0,22.0,0,0
288,1,2,0,1,0,42.0,0,0
289,1,3,0,0,1,22.0,0,0
290,1,1,0,1,1,26.0,0,0
291,1,1,1,0,1,19.0,1,0
292,0,2,1,0,0,36.0,0,0
293,0,3,0,1,1,24.0,0,0
294,0,3,0,1,0,24.0,0,0
295,0,1,1,0,0,40.2969161135249,0,0
296,0,3,1,0,0,23.5,0,0
297,0,1,0,1,1,2.0,1,2
298,1,1,0,1,0,42.50576330024294,0,0
299,1,1,1,0,1,50.0,0,1
300,1,3,0,0,1,28.615464952946855,0,0
301,1,3,0,0,0,23.857173152639632,2,0
302,0,3,0,1,0,19.0,0,0
303,1,2,0,0,1,35.8044908030771,0,0
304,0,3,0,1,0,28.31666833912606,0,0
305,1,1,0,1,0,0.92,1,2
306,1,1,1,0,1,35.863491167960234,0,0
307,1,1,1,0,1,17.0,1,0
308,0,2,1,0,0,30.0,1,0
309,1,1,1,0,1,30.0,0,0
310,1,1,1,0,1,24.0,0,0
311,1,1,1,0,1,18.0,2,2
312,0,2,0,1,1,26.0,1,1
313,0,3,0,1,0,28.0,0,0
314,0,2,0,1,0,43.0,1,1
315,1,3,0,1,1,26.0,0,0
316,1,2,0,1,1,24.0,1,0
317,0,2,0,1,0,54.0,0,0
318,1,1,0,1,1,31.0,0,2
319,1,1,1,0,1,40.0,1,1
320,0,3,0,1,0,22.0,0,0
321,0,3,0,1,0,27.0,0,0
322,1,2,0,0,1,30.0,0,0
323,1,2,0,1,1,22.0,1,1
324,0,3,0,1,0,0.42,8,2
325,1,1,1,0,1,36.0,0,0
326,0,3,0,1,0,61.0,0,0
327,1,2,0,1,1,36.0,0,0
328,1,3,0,1,1,31.0,1,1
329,1,1,1,0,1,16.0,0,1
330,1,3,0,0,1,20.609719136813084,2,0
331,0,1,0,1,0,45.5,0,0
332,0,1,0,1,0,38.0,0,1
333,0,3,0,1,0,16.0,2,0
334,1,1,0,1,1,33.89494785451554,1,0
335,0,3,0,1,0,28.318867367743113,0,0
336,0,1,0,1,0,29.0,1,0
337,1,1,1,0,1,41.0,0,0
338,1,3,0,1,0,45.0,0,0
339,0,1,0,1,0,45.0,0,0
340,1,2,0,1,0,2.0,1,1
341,1,1,0,1,1,24.0,3,2
342,0,2,0,1,0,28.0,0,0
343,0,2,0,1,0,25.0,0,0
344,0,2,0,1,0,36.0,0,0
345,1,2,0,1,1,24.0,0,0
346,1,2,0,1,1,40.0,0,0
347,1,3,0,1,1,21.06206314944069,1,0
348,1,3,0,1,0,3.0,1,1
349,0,3,0,1,0,42.0,0,0
350,0,3,0,1,0,23.0,0,0
351,0,1,0,1,0,42.44158931336398,0,0
352,0,3,1,0,0,15.0,1,1
353,0,3,0,1,0,25.0,1,0
354,0,3,1,0,0,26.079952529039385,0,0
355,0,3,0,1,0,28.0,0,0
356,1,1,0,1,1,22.0,0,1
357,0,2,0,1,1,38.0,0,0
358,1,3,0,0,1,28.61362244647913,0,0
359,1,3,0,0,1,28.61362244647913,0,0
360,0,3,0,1,0,40.0,1,4
361,0,2,1,0,0,29.0,1,0
362,0,3,1,0,1,45.0,0,1
363,0,3,0,1,0,35.0,0,0
364,0,3,0,0,0,27.86004606070652,1,0
365,0,3,0,1,0,30.0,0,0
366,1,1,1,0,1,60.0,1,0
367,1,3,1,0,1,22.832438617491746,0,0
368,1,3,0,0,1,28.615464952946855,0,0
369,1,1,1,0,1,24.0,0,0
370,1,1,1,0,0,25.0,1,0
371,0,3,0,1,0,18.0,1,0
372,0,3,0,1,0,19.0,0,0
373,0,1,1,0,0,22.0,0,0
374,0,3,0,1,1,3.0,3,1
375,1,1,1,0,1,32.380605814687584,1,0
376,1,3,0,1,1,22.0,0,0
377,0,1,1,0,0,27.0,0,2
378,0,3,1,0,0,20.0,0,0
379,0,3,0,1,0,19.0,0,0
380,1,1,1,0,1,42.0,0,0
381,1,3,1,0,1,1.0,0,2
382,0,3,0,1,0,32.0,0,0
383,1,1,0,1,1,35.0,1,0
384,0,3,0,1,0,28.318867367743113,0,0
385,0,2,0,1,0,18.0,0,0
386,0,3,0,1,0,1.0,5,2
387,1,2,0,1,1,36.0,0,0
388,0,3,0,0,0,31.863215595201645,0,0
389,1,2,1,0,1,17.0,0,0
390,1,1,0,1,0,36.0,1,2
391,1,3,0,1,0,21.0,0,0
392,0,3,0,1,0,28.0,2,0
393,1,1,1,0,1,23.0,1,0
394,1,3,0,1,1,24.0,0,2
395,0,3,0,1,0,22.0,0,0
396,0,3,0,1,1,31.0,0,0
397,0,2,0,1,0,46.0,0,0
398,0,2,0,1,0,23.0,0,0
399,1,2,0,1,1,28.0,0,0
400,1,3,0,1,0,39.0,0,0
401,0,3,0,1,0,26.0,0,0
402,0,3,0,1,1,21.0,1,0
403,0,3,0,1,0,28.0,1,0
404,0,3,0,1,1,20.0,0,0
405,0,2,0,1,0,34.0,1,0
406,0,3,0,1,0,51.0,0,0
407,1,2,0,1,0,3.0,1,1
408,0,3,0,1,0,21.0,0,0
409,0,3,0,1,1,12.373747017257443,3,1
410,0,3,0,1,0,28.318867367743113,0,0
411,0,3,0,0,0,31.87563540079562,0,0
412,1,1,0,0,1,33.0,1,0
413,0,2,0,1,0,35.686094396816046,0,0
414,1,3,0,1,0,44.0,0,0
415,0,3,0,1,1,25.06921432329951,0,0
416,1,2,0,1,1,34.0,1,1
417,1,2,0,1,1,18.0,0,2
418,0,2,0,1,0,30.0,0,0
419,0,3,0,1,1,10.0,0,2
420,0,3,1,0,0,26.070386326728627,0,0
421,0,3,0,0,0,21.0,0,0
422,0,3,0,1,0,29.0,0,0
423,0,3,0,1,1,28.0,1,1
424,0,3,0,1,0,18.0,1,1
425,0,3,0,1,0,28.328077047904543,0,0
426,1,2,0,1,1,28.0,1,0
427,1,2,0,1,1,19.0,0,0
428,0,3,0,0,0,31.862918968773407,0,0
429,1,3,0,1,0,32.0,0,0
430,1,1,0,1,0,28.0,0,0
431,1,3,0,1,1,21.06206314944069,1,0
432,1,2,0,1,1,42.0,1,0
433,0,3,0,1,0,17.0,0,0
434,0,1,0,1,0,50.0,1,0
435,1,1,0,1,1,14.0,1,2
436,0,3,0,1,1,21.0,2,2
437,1,2,0,1,1,24.0,2,3
438,0,1,0,1,0,64.0,1,4
439,0,2,0,1,0,31.0,0,0
440,1,2,0,1,1,45.0,1,1
441,0,3,0,1,0,20.0,0,0
442,0,3,0,1,0,25.0,1,0
443,1,2,0,1,1,28.0,0,0
444,1,3,0,1,0,28.31577703375274,0,0
445,1,1,0,1,0,4.0,0,2
446,1,2,0,1,1,13.0,0,1
447,1,1,0,1,0,34.0,0,0
448,1,3,1,0,1,5.0,2,1
449,1,1,0,1,0,52.0,0,0
450,0,2,0,1,0,36.0,1,2
451,0,3,0,1,0,24.25437459747505,1,0
452,0,1,1,0,0,30.0,0,0
453,1,1,1,0,0,49.0,1,0
454,0,3,0,1,0,28.31666833912606,0,0
455,1,3,1,0,0,29.0,0,0
456,0,1,0,1,0,65.0,0,0
457,1,1,0,1,1,35.06131006604065,1,0
458,1,2,0,1,1,50.0,0,0
459,0,3,0,0,0,31.862918968773407,0,0
460,1,1,0,1,0,48.0,0,0
461,0,3,0,1,0,34.0,0,0
462,0,1,0,1,0,47.0,0,0
463,0,2,0,1,0,48.0,0,0
464,0,3,0,1,0,28.31666833912606,0,0
465,0,3,0,1,0,38.0,0,0
466,0,2,0,1,0,35.686094396816046,0,0
467,0,1,0,1,0,56.0,0,0
468,0,3,0,0,0,31.863275490922735,0,0
469,1,3,1,0,1,0.75,2,1
470,0,3,0,1,0,28.328077047904543,0,0
471,0,3,0,1,0,38.0,0,0
472,1,2,0,1,1,33.0,1,2
473,1,2,1,0,1,23.0,0,0
474,0,3,0,1,1,22.0,0,0
475,0,1,0,1,0,42.19915425182124,0,0
476,0,2,0,1,0,34.0,1,0
477,0,3,0,1,0,29.0,1,0
478,0,3,0,1,0,22.0,0,0
479,1,3,0,1,1,2.0,0,1
480,0,3,0,1,0,9.0,5,2
481,0,2,0,1,0,35.686094396816046,0,0
482,0,3,0,1,0,50.0,0,0
483,1,3,0,1,1,63.0,0,0
484,1,1,1,0,0,25.0,1,0
485,0,3,0,1,1,12.373747017257443,3,1
486,1,1,0,1,1,35.0,1,0
487,0,1,1,0,0,58.0,0,0
488,0,3,0,1,0,30.0,0,0
489,1,3,0,1,0,9.0,1,1
490,0,3,0,1,0,24.25437459747505,1,0
491,0,3,0,1,0,21.0,0,0
492,0,1,0,1,0,55.0,0,0
493,0,1,1,0,0,71.0,0,0
494,0,3,0,1,0,21.0,0,0
495,0,3,1,0,0,25.976799262530143,0,0
496,1,1,1,0,1,54.0,1,0
497,0,3,0,1,0,28.216129093015688,0,0
498,0,1,0,1,1,25.0,1,2
499,0,3,0,1,0,24.0,0,0
500,0,3,0,1,0,17.0,0,0
501,0,3,0,0,1,21.0,0,0
502,0,3,0,0,1,28.617187667972406,0,0
503,0,3,0,1,1,37.0,0,0
504,1,1,0,1,1,16.0,0,0
505,0,1,1,0,0,18.0,1,0
506,1,2,0,1,1,33.0,0,2
507,1,1,0,1,0,42.562093799836695,0,0
508,0,3,0,1,0,28.0,0,0
509,1,3,0,1,0,26.0,0,0
510,1,3,0,0,0,29.0,0,0
511,0,3,0,1,0,28.31666833912606,0,0
512,1,1,0,1,0,36.0,0,0
513,1,1,1,0,1,54.0,1,0
514,0,3,0,1,0,24.0,0,0
515,0,1,0,1,0,47.0,0,0
516,1,2,0,1,1,34.0,0,0
517,0,3,0,0,0,31.629040438814528,0,0
518,1,2,0,1,1,36.0,1,0
519,0,3,0,1,0,32.0,0,0
520,1,1,0,1,1,30.0,0,0
521,0,3,0,1,0,22.0,0,0
522,0,3,1,0,0,26.079952529039385,0,0
523,1,1,1,0,1,44.0,0,1
524,0,3,1,0,0,26.0798926333183,0,0
525,0,3,0,0,0,40.5,0,0
526,1,2,0,1,1,50.0,0,0
527,0,1,0,1,0,39.777952440016705,0,0
528,0,3,0,1,0,39.0,0,0
529,0,2,0,1,0,23.0,2,1
530,1,2,0,1,1,2.0,1,1
531,0,3,1,0,0,26.0798926333183,0,0
532,0,3,1,0,0,17.0,1,1
533,1,3,1,0,1,21.07661103153947,0,2
534,0,3,0,1,1,30.0,0,0
535,1,2,0,1,1,7.0,0,2
536,0,1,0,1,0,45.0,0,0
537,1,1,1,0,1,30.0,0,0
538,0,3,0,1,0,28.22468562459955,0,0
539,1,1,1,0,1,22.0,0,2
540,1,1,0,1,1,36.0,0,2
541,0,3,0,1,1,9.0,4,2
542,0,3,0,1,1,11.0,4,2
543,1,2,0,1,0,32.0,1,0
544,0,1,1,0,0,50.0,1,0
545,0,1,0,1,0,64.0,0,0
546,1,2,0,1,1,19.0,1,0
547,1,2,1,0,0,33.23992182399943,0,0
548,0,3,0,1,0,33.0,1,1
549,1,2,0,1,0,8.0,1,1
550,1,1,1,0,0,17.0,0,2
551,0,2,0,1,0,27.0,0,0
552,0,3,0,0,0,31.861789506604335,0,0
553,1,3,1,0,0,22.0,0,0
554,1,3,0,1,1,22.0,0,0
555,0,1,0,1,0,62.0,0,0
556,1,1,1,0,1,48.0,1,0
557,0,1,1,0,0,37.447531200377966,0,0
558,1,1,0,1,1,39.0,1,1
559,1,3,0,1,1,36.0,1,0
560,0,3,0,0,0,31.862918968773407,0,0
561,0,3,0,1,0,40.0,0,0
562,0,2,0,1,0,28.0,0,0
563,0,3,0,1,0,28.31666833912606,0,0
564,0,3,0,1,1,25.06921432329951,0,0
565,0,3,0,1,0,24.0,2,0
566,0,3,0,1,0,19.0,0,0
567,0,3,0,1,1,29.0,0,4
568,0,3,1,0,0,26.0798926333183,0,0
569,1,3,0,1,0,32.0,0,0
570,1,2,0,1,0,62.0,0,0
571,1,1,0,1,1,53.0,2,0
572,1,1,0,1,0,36.0,0,0
573,1,3,0,0,1,28.615464952946855,0,0
574,0,3,0,1,0,16.0,0,0
575,0,3,0,1,0,19.0,0,0
576,1,2,0,1,1,34.0,0,0
577,1,1,0,1,1,39.0,1,0
578,0,3,1,0,1,18.836994204928246,1,0
579,1,3,0,1,0,32.0,0,0
580,1,2,0,1,1,25.0,1,1
581,1,1,1,0,1,39.0,1,1
582,0,2,0,1,0,54.0,0,0
583,0,1,1,0,0,36.0,0,0
584,0,3,1,0,0,26.058739461154396,0,0
585,1,1,0,1,1,18.0,0,2
586,0,2,0,1,0,47.0,0,0
587,1,1,1,0,0,60.0,1,1
588,0,3,0,1,0,22.0,0,0
589,0,3,0,1,0,28.31666833912606,0,0
590,0,3,0,1,0,35.0,0,0
591,1,1,1,0,1,52.0,1,0
592,0,3,0,1,0,47.0,0,0
593,0,3,0,0,1,27.075391736970246,0,2
594,0,2,0,1,0,37.0,1,0
595,0,3,0,1,0,36.0,1,1
596,1,2,0,1,1,31.968031143877116,0,0
597,0,3,0,1,0,49.0,0,0
598,0,3,1,0,0,26.079952529039385,0,0
599,1,1,1,0,0,49.0,1,0
600,1,2,0,1,1,24.0,2,1
601,0,3,0,1,0,28.318867367743113,0,0
602,0,1,0,1,0,42.33605875716302,0,0
603,0,3,0,1,0,44.0,0,0
604,1,1,1,0,0,35.0,0,0
605,0,3,0,1,0,36.0,1,0
606,0,3,0,1,0,30.0,0,0
607,1,1,0,1,0,27.0,0,0
608,1,2,1,0,1,22.0,1,2
609,1,1,0,1,1,40.0,0,0
610,0,3,0,1,1,39.0,1,5
611,0,3,0,1,0,28.330929225099162,0,0
612,1,3,0,0,1,24.612592044879964,1,0
613,0,3,0,0,0,31.862918968773407,0,0
614,0,3,0,1,0,35.0,0,0
615,1,2,0,1,1,24.0,1,2
616,0,3,0,1,0,34.0,1,1
617,0,3,0,1,1,26.0,1,0
618,1,2,0,1,1,4.0,2,1
619,0,2,0,1,0,26.0,0,0
620,0,3,1,0,0,27.0,1,0
621,1,1,0,1,0,42.0,1,0
622,1,3,1,0,0,20.0,1,1
623,0,3,0,1,0,21.0,0,0
624,0,3,0,1,0,21.0,0,0
625,0,1,0,1,0,61.0,0,0
626,0,2,0,0,0,57.0,0,0
627,1,1,0,1,1,21.0,0,0
628,0,3,0,1,0,26.0,0,0
629,0,3,0,0,0,31.863157125569156,0,0
630,1,1,0,1,0,80.0,0,0
631,0,3,0,1,0,51.0,0,0
632,1,1,1,0,0,32.0,0,0
633,0,1,0,1,0,42.940720322422564,0,0
634,0,3,0,1,1,9.0,3,2
635,1,2,0,1,1,28.0,0,0
636,0,3,0,1,0,32.0,0,0
637,0,2,0,1,0,31.0,1,1
638,0,3,0,1,1,41.0,0,5
639,0,3,0,1,0,24.309517165267245,1,0
640,0,3,0,1,0,20.0,0,0
641,1,1,1,0,1,24.0,0,0
642,0,3,0,1,1,2.0,3,2
643,1,3,0,1,0,27.62578830945034,0,0
644,1,3,1,0,1,0.75,2,1
645,1,1,1,0,0,48.0,1,0
646,0,3,0,1,0,19.0,0,0
647,1,1,1,0,0,56.0,0,0
648,0,3,0,1,0,28.32379878211261,0,0
649,1,3,0,1,1,23.0,0,0
650,0,3,0,1,0,28.318867367743113,0,0
651,1,2,0,1,1,18.0,0,1
652,0,3,0,1,0,21.0,0,0
653,1,3,0,0,1,28.614335490777783,0,0
654,0,3,0,0,1,18.0,0,0
655,0,2,0,1,0,24.0,2,0
656,0,3,0,1,0,28.318867367743113,0,0
657,0,3,0,0,1,32.0,1,1
658,0,2,0,1,0,23.0,0,0
659,0,1,1,0,0,58.0,0,2
660,1,1,0,1,0,50.0,2,0
661,0,3,1,0,0,40.0,0,0
662,0,1,0,1,0,47.0,0,0
663,0,3,0,1,0,36.0,0,0
664,1,3,0,1,0,20.0,1,0
665,0,2,0,1,0,32.0,2,0
666,0,2,0,1,0,25.0,0,0
667,0,3,0,1,0,28.320590082768664,0,0
